BoroName,BoroCode,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
Brooklyn,3,047,BK43,Midwood,27996.591273599999113,35799637.810300000011921
Brooklyn,3,047,BK75,Bedford,29992.919174400001793,32629833.114900000393391
Bronx,2,005,BX40,Fordham South,15878.272921199999473,6307283.622019999660552
Brooklyn,3,047,BK88,Borough Park,39247.227722000003268,54005019.22860000282526
Brooklyn,3,047,BK96,Rugby-Remsen Village,30957.853394900001149,32706946.403499998152256
Queens,4,081,QN52,East Flushing,25843.364955699998973,29454379.966299999505281
Queens,4,081,QN53,Woodhaven,28070.585548399998515,37001316.627599999308586
Brooklyn,3,047,BK44,Madison,26237.257341000000451,27379161.997800000011921
Bronx,2,005,BX46,Parkchester,12373.255537999999433,9180655.231780000030994
Queens,4,081,QN48,Auburndale,32446.878672999999253,34164217.574699997901917
Bronx,2,005,BX44,Williamsbridge-Olinville,27350.973944800000027,36273563.808100000023842
Queens,4,081,QN51,Murray Hill,33266.904811200001859,52488277.073700003325939
Queens,4,081,QN27,East Elmhurst,19816.712109500000224,19726846.100000001490116
Brooklyn,3,047,BK81,Brownsville,27300.781233000001521,32730861.109099999070168
Brooklyn,3,047,BK85,East New York (Pennsylvania Ave),24226.850777100000414,19397527.299300000071526
Brooklyn,3,047,BK41,Kensington-Ocean Parkway,20800.556075399999827,15893349.43859999999404
Brooklyn,3,047,BK95,Erasmus,18756.702307100000326,14522599.5
Queens,4,081,QN33,Cambria Heights,26168.269539500000974,33076798.043999999761581
Brooklyn,3,047,BK91,East Flatbush-Farragut,39211.411680099998193,34362243.156400002539158
Brooklyn,3,047,BK46,Ocean Parkway South,21975.997984199999337,17782031.868099998682737
Brooklyn,3,047,BK93,Starrett City,17414.781632900001568,11598945.823599999770522
Manhattan,1,061,MN11,Central Harlem South,16619.295908000000054,14436192.182199999690056
Queens,4,081,QN23,College Point,59485.125419700001657,50626759.412900000810623
Bronx,2,005,BX35,Morrisania-Melrose,27740.845741299999645,16891753.51630000025034
Queens,4,081,QN29,Elmhurst,36705.016439599996374,32671507.706599999219179
Queens,4,081,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.526631100001396,45665592.129299998283386
Bronx,2,005,BX33,Longwood,18982.129300600001443,10732451.844200000166893
Manhattan,1,061,MN32,Yorkville,17409.210114699999394,13594779.769799999892712
Manhattan,1,061,MN40,Upper East Side-Carnegie Hill,23778.406402000000526,20065329.487700000405312
Brooklyn,3,047,BK40,Windsor Terrace,19033.540162500001315,14041611.820499999448657
Queens,4,081,QN12,Hammels-Arverne-Edgemere,83820.120650099997874,61904116.801299996674061
Bronx,2,005,BX98,Rikers Island,18903.346270999998524,18154595.79619999974966
Bronx,2,005,BX27,Hunts Point,44778.618995299999369,49734670.557300001382828
Queens,4,081,QN28,Jackson Heights,29422.792302900001232,47854896.069099999964237
Brooklyn,3,047,BK27,Bath Beach,22383.267147999998997,20538896.971099998801947
Staten Island,5,085,SI36,Old Town-Dongan Hills-South Beach,41963.900236499997845,67010738.067900002002716
Brooklyn,3,047,BK42,Flatbush,38737.852762800001074,45254811.474500000476837
Bronx,2,005,BX34,Melrose South-Mott Haven North,19596.17495179999969,17269793.866999998688698
Brooklyn,3,047,BK79,Ocean Hill,22496.514210299999831,20078419.057199999690056
Manhattan,1,061,MN09,Morningside Heights,20744.313554899999872,20158317.285000000149012
Bronx,2,005,BX55,Soundview-Bruckner,19755.305500999998912,16260511.421399999409914
Bronx,2,005,BX31,Allerton-Pelham Gardens,25462.684886999999435,31684499.290600001811981
Queens,4,081,QN06,Jamaica Estates-Holliswood,35446.883206600003177,42789517.36259999871254
Queens,4,081,QN07,Hollis,20976.335524800000712,22887772.917599998414516
Brooklyn,3,047,BK58,Flatlands,40635.275370600000315,54341763.55460000038147
Brooklyn,3,047,BK82,East New York,88815.348861799997394,117170154.658000007271767
Bronx,2,005,BX30,Kingsbridge Heights,21306.519854900001519,13167198.169199999421835
Bronx,2,005,BX43,Norwood,22148.645112599999266,15708884.413799999281764
Manhattan,1,061,MN06,Manhattanville,17040.685730699999112,10647077.694099999964237
Staten Island,5,085,SI14,Grasmere-Arrochar-Ft. Wadsworth,40056.712725899997167,40946383.451999999582767
Queens,4,081,QN34,Queens Village,41782.400365200002852,69533432.846799999475479
Queens,4,081,QN02,Springfield Gardens North,25433.582833600001322,28428437.679099999368191
Brooklyn,3,047,BK50,Canarsie,43701.791058399998292,82015446.670000001788139
Brooklyn,3,047,BK28,Bensonhurst West,37136.963251699999091,46666292.786700002849102
Staten Island,5,085,SI22,West New Brighton-New Brighton-St. George,67956.505825200001709,56064920.515799999237061
Manhattan,1,061,MN23,West Village,29385.030625200000941,25000526.0320999994874
Manhattan,1,061,MN22,East Village,13539.1976324999996,10895491.366800000891089
Manhattan,1,061,MN27,Chinatown,20788.888972299999296,14501953.104000000283122
Bronx,2,005,BX10,Pelham Bay-Country Club-City Island,139408.564884999999776,40248130.522699996829033
Bronx,2,005,BX62,Woodlawn-Wakefield,38709.078975099997479,39744928.422100000083447
Queens,4,081,QN71,Old Astoria,19335.566679700001259,15621238.634700000286102
Bronx,2,005,BX28,Van Cortlandt Village,22003.839963099999295,25673275.302999999374151
Queens,4,081,QN70,Astoria,32530.694965899998351,39334264.484300002455711
Manhattan,1,061,MN50,Stuyvesant Town-Cooper Village,11000.158745099999578,5575232.225410000421107
Brooklyn,3,047,BK30,Dyker Heights,30562.583505400001741,29908238.233300000429153
Staten Island,5,085,SI35,New Brighton-Silver Lake,30322.523685899999691,47140398.505900003015995
Staten Island,5,085,SI07,Westerleigh,41649.917414600000484,63293572.279399998486042
Bronx,2,005,BX13,Co-op City,30338.27642669999841,39875760.074000000953674
Bronx,2,005,BX36,University Heights-Morris Heights,24298.141113199999381,21251406.272900000214577
Bronx,2,005,BX14,East Concourse-Concourse Village,27275.792350499999884,18232622.292300000786781
Queens,4,081,QN46,Bayside-Bayside Hills,43014.80533010000363,80797536.062299996614456
Queens,4,081,QN26,North Corona,18431.059379700000136,18000867.958599999547005
Queens,4,081,QN37,Kew Gardens Hills,33109.32201029999851,37891124.481299996376038
Queens,4,081,QN38,Pomonok-Flushing Heights-Hillcrest,30731.592249500001344,38835956.770099997520447
Brooklyn,3,047,BK73,North Side-South Side,28145.428770200000145,28868408.33559999987483
Manhattan,1,061,MN28,Lower East Side,25469.23563009999998,23297615.800000000745058
Brooklyn,3,047,BK76,Greenpoint,29054.423400200001197,35337582.962899997830391
Bronx,2,005,BX29,Spuyten Duyvil-Kingsbridge,27990.459821500000544,23220349.335900001227856
Brooklyn,3,047,BK34,Sunset Park East,25948.768015099998593,27125857.40989999845624
Manhattan,1,061,MN01,Marble Hill-Inwood,31843.108813599999849,17725321.214299999177456
Brooklyn,3,047,BK68,Fort Greene,19828.474409800001013,16482896.177300000563264
Manhattan,1,061,MN35,Washington Heights North,26623.87371340000027,22662313.429099999368191
Queens,4,081,QN72,Steinway,42971.826222600000619,57767020.82320000231266
Bronx,2,005,BX39,Mott Haven-Port Morris,35601.183689999998023,41903939.654600001871586
Brooklyn,3,047,BK64,Prospect Heights,15051.943022999999812,10241664.331499999389052
Manhattan,1,061,MN03,Central Harlem North-Polo Grounds,28114.98304840000128,25403425.253600001335144
Queens,4,081,QN68,Queensbridge-Ravenswood-Long Island City,27067.653135500000644,23317083.731100000441074
Brooklyn,3,047,BK83,Cypress Hills-City Line,35597.561782500000845,27609992.442600000649691
Staten Island,5,085,SI45,New Dorp-Midland Beach,34339.069480700003623,55434866.762800000607967
Brooklyn,3,047,BK31,Bay Ridge,44374.232224400002451,67120372.697400003671646
Brooklyn,3,047,BK32,Sunset Park West,84583.611298500007251,50067191.256599999964237
Queens,4,081,QN76,Baisley Park,31475.186400200000207,44042883.955899998545647
Manhattan,1,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,24284.700442699999257,24859568.517299998551607
Manhattan,1,061,MN25,Battery Park City-Lower Manhattan,45700.005461699998705,19056256.310499999672174
Manhattan,1,061,MN15,Clinton,35037.171579699999711,18381380.226300001144409
Brooklyn,3,047,BK23,West Brighton,14114.537057100000311,8745781.987339999526739
Queens,4,081,QN01,South Jamaica,32122.552242199999455,39971928.677400000393391
Queens,4,081,QN56,Ozone Park,24733.075757700000395,25028558.637600000947714
